iso3,Year,SL.TLF.TOTL.FE.ZS,SP.POP.TOTL.FE.ZS,EN.POP.DNST,SE.COM.DURS,SL.IND.EMPL.ZS,SH.XPD.OOPC.CH.ZS,NY.GDP.MKTP.CD,SP.URB.TOTL.IN.ZS,SL.TLF.TOTL.IN,SH.XPD.EHEX.PP.CD,GC.XPN.COMP.ZS,NV.IND.MANF.ZS,EG.ELC.ACCS.ZS,SL.AGR.EMPL.ZS,MS.MIL.TOTL.P1,SP.POP.1564.TO.ZS,MS.MIL.TOTL.TF.ZS,SE.XPD.TOTL.GD.ZS,IT.MLT.MAIN.P2,DT.TDS.DPPG.GN.ZS,SuicideRatesPer100k
DEU,2017,46.3157707458762,50.6371624174512,236.588722557747,13.0,27.405240069354,12.68731976,3763092263752.95,77.261,43391708.0,6.946052627743034,5.75636533416325,20.2013743166692,100.0,1.27662292263411,180000.0,65.2493405041228,0.414825800357985,4.87182998657227,53.4,1.50003420459832,8.4
DEU,2018,46.2119025162633,50.6244048561935,237.294012250272,13.0,27.3399862183204,12.92204857,4052008447223.53,77.312,43612526.0,6.946052627743034,5.82633406140195,19.8657585110445,100.0,1.24953878951843,181400.0,64.9876223341919,0.415935550259116,4.97933006286621,51.0,1.50003420459832,8.5
DEU,2019,46.2845280945456,50.6200120235733,237.822954291766,13.0,27.1821282894814,13.22793484,3957208055215.68,77.376,43981829.0,6.946052627743034,5.82922041101276,19.3688328882451,100.0,1.20414805613861,184000.0,64.709009583285,0.418354589119066,5.11552000045776,45.8,1.50003420459832,8.21
DEU,2020,46.4249681089747,50.6255262173185,238.017318755545,13.0,27.3718221770653,11.99145222,3940142541354.1,77.453,43372704.0,6.946052627743034,5.43773768621089,18.6373281694795,100.0,1.22072117993967,183000.0,64.3935455490144,0.421924351315519,5.59038019180298,45.9,1.50003420459832,8.4
DEU,2021,46.4180323865489,50.6322657700301,238.118085806692,13.0,27.5018641500002,11.95167065,4348297440387.53,77.544,43283278.0,6.946052627743034,5.21298705738661,18.6967626466764,100.0,1.24615646358489,34600.0,64.007731691245,0.928209783292858,5.45488977432251,46.0,1.50003420459832,8.18
DJI,2002,25.0211423464706,50.2454831354469,34.3215703192407,10.0,4.40711478597632,40.90150833,591122039.601398,76.624,166727.0,21.3756386213151,24.3289207281494,12.0471061163549,49.7,2.28117621105782,12300.0,58.0672570999052,7.37732940675476,8.44760036468506,1.27,1.63997393640974,9.53
DJI,2005,25.1889769141716,50.2532868904521,36.2022001725626,10.0,4.48453329835418,35.31047058,708633194.726566,76.761,176212.0,27.4342376172244,24.3289207281494,12.0471061163549,56.8,2.07791606546246,13000.0,58.20587558853,7.3774771298209,8.36588954925537,1.26,2.0254310729412,9.86
DJI,2007,25.5937476288034,50.2706034233363,37.7276962899051,10.0,4.65723404568252,30.18076515,847918929.107984,76.853,184506.0,31.7127606334955,24.3289207281494,12.0471061163549,57.2,1.93481490197232,12000.0,58.8404023887185,6.50385353321843,8.40625,1.61,2.75018826785043,9.73
DJI,2012,26.8514126973372,50.3090260430081,41.7060828300259,10.0,4.99091904509006,22.94796562,1353632941.5207,77.138,206626.0,21.6817658982975,24.3289207281494,12.0471061163549,54.6,1.60637830536924,12950.0,60.6448943493518,6.26736228741785,6.35127544403076,2.06,2.77602600013334,9.53
DJI,2013,27.1238810143259,50.3164521615515,42.4859361518551,10.0,5.07383566830746,24.05808258,2042817162.85639,77.222,211017.0,14.0707248029035,24.3289207281494,1.95812434978751,58.6,1.5466663243892,12950.0,60.9950808494305,6.13694631238241,4.64782524108887,2.1,1.95304080918142,9.7
DJI,2014,27.4311841433412,50.325066793522,43.2578515962036,10.0,5.21927756295388,22.65952682,2214679081.25658,77.314,215430.0,18.9135592342901,24.3289207281494,2.78230173875108,58.9,1.48825804017731,12950.0,61.3899228845612,6.01123334725897,4.38407516479492,2.19,1.58759048900328,10.38
DJI,2015,27.7775503427446,50.3349955699825,44.0169542709232,10.0,5.37500769088784,19.0374279,2424391785.43897,77.417,219843.0,39.4394573554236,24.3289207281494,2.73555807602599,59.1,1.4292745954593,12950.0,61.8426404446479,5.89056735943378,3.59894990921021,2.24,1.70846058821276,10.2
